Municipality[a],CBS code[2],Province,Population[b][26],Population density[c][26],Land area[d][26]
Maasdriel,263,Gelderland,"25,504","387/km2 (1,000/sq mi)",65.58 km2 (25.32 sq mi)
Maasgouw,1641,Limburg,"24,028","526/km2 (1,360/sq mi)",45.5 km2 (17.57 sq mi)
Maashorst,1991,North Brabant,"58,362","425/km2 (1,100/sq mi)",137.73 km2 (53.18 sq mi)
Maassluis,556,South Holland,"34,148","4,044/km2 (10,470/sq mi)",8.84 km2 (3.41 sq mi)
Maastricht,935,Limburg,"121,151","2,172/km2 (5,630/sq mi)",55.59 km2 (21.46 sq mi)
Medemblik,420,North Holland,"45,464",375/km2 (970/sq mi),121.13 km2 (46.77 sq mi)
Meerssen,938,Limburg,"18,581","695/km2 (1,800/sq mi)",26.63 km2 (10.28 sq mi)
Meierijstad,1948,North Brabant,"82,613","449/km2 (1,160/sq mi)",184 km2 (71.04 sq mi)
Meppel,119,Drenthe,"34,761","626/km2 (1,620/sq mi)",55.5 km2 (21.43 sq mi)
Middelburg,687,Zeeland,"49,199","1,017/km2 (2,630/sq mi)",48.88 km2 (18.87 sq mi)
Midden-Delfland,1842,South Holland,"19,484","413/km2 (1,070/sq mi)",47.79 km2 (18.45 sq mi)
Midden-Drenthe,1731,Drenthe,"33,689",99/km2 (260/sq mi),340.02 km2 (131.28 sq mi)
Midden-Groningen,1952,Groningen,"60,898",219/km2 (570/sq mi),277.75 km2 (107.24 sq mi)
Moerdijk,1709,North Brabant,"37,313",234/km2 (610/sq mi),159.97 km2 (61.76 sq mi)
Molenlanden,1978,South Holland,"44,644",246/km2 (640/sq mi),181.17 km2 (69.95 sq mi)
Montferland,1955,Gelderland,"36,359",344/km2 (890/sq mi),105.5 km2 (40.73 sq mi)
Montfoort,335,Utrecht,"13,818",368/km2 (950/sq mi),37.78 km2 (14.59 sq mi)
Mook en Middelaar,944,Limburg,"7,989","459/km2 (1,190/sq mi)",17.79 km2 (6.87 sq mi)
Neder-Betuwe,1740,Gelderland,"25,032","417/km2 (1,080/sq mi)",59.99 km2 (23.16 sq mi)
Nederweert,946,Limburg,"17,323",173/km2 (450/sq mi),99.9 km2 (38.57 sq mi)
Nieuwegein,356,Utrecht,"64,554","2,757/km2 (7,140/sq mi)",23.32 km2 (9.00 sq mi)
Nieuwkoop,569,South Holland,"29,304",373/km2 (970/sq mi),78.86 km2 (30.45 sq mi)
Nijkerk,267,Gelderland,"44,311","639/km2 (1,660/sq mi)",69.92 km2 (27.00 sq mi)
